date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2018-01-01,28.5,25.4,31.6,0,,92,20.2,,1009.7,
2018-01-02,27.8,26,30.5,0,,101,30.5,,1008.2,
2018-01-03,27.1,24,29.9,11.9,,,,,,
2018-01-04,25.7,23.6,28.2,94,,66,25.6,,1009.8,
2018-01-05,25.4,23,28,109,,68,20.4,,1010.7,
2018-01-06,26.4,23.8,28.6,7.9,,46,19.8,,1010.3,
2018-01-07,27.2,23.9,30.2,6.1,,40,23.9,,1009.2,
2018-01-08,26.1,24,29.2,39.1,,37,21.9,,1009.1,
2018-01-09,25.9,23.9,28.7,43.9,,29,16.8,,1009.1,
2018-01-10,25.4,23.5,30,23.9,,26,10.1,,,
2018-01-11,27.2,23.3,30.2,37.1,,,,,,
2018-01-12,27.8,24.3,30,5.1,,,12,,1011.6,
2018-01-13,26.9,24.2,28.6,5.1,,,,,,
2018-01-14,28,24.6,30.1,23.9,,145,24.5,,1008.3,
2018-01-15,27.6,25.5,30,0,,149,27.6,,1009.7,
2018-01-16,27.1,24.1,29.1,2,,163,32.3,,1007.8,
2018-01-17,26.2,24,28,2,,,,,,
2018-01-18,27.2,23.9,30.6,110,,19,38.3,,992,
2018-01-19,28.2,26,32.3,2,,,17.1,,,
2018-01-20,26.4,23.9,30.4,0,,,5.8,,1010.4,
2018-01-21,27.1,22.9,30,10.9,,,7.2,,1009.9,
2018-01-22,27.4,23.2,30,1,,,7.1,,1008.9,
2018-01-23,27.6,25.5,30,1,,,8.3,,,
2018-01-24,27.6,25,30,0,,,9.3,,1008,
2018-01-25,27.1,24.5,29.5,106.9,,,16,,1009.2,
2018-01-26,27.6,23.6,30.5,0,,56,12.9,,1011.2,
2018-01-27,27.8,25.4,30,0.5,,94,14.4,,1012.2,
2018-01-28,27.6,24.4,30.2,0.3,,88,13.8,,1011.8,
2018-01-29,27.9,24.6,30.5,0,,46,13.7,,1012.2,
2018-01-30,28.1,24.6,30.4,0,,,15.8,,1013.4,
2018-01-31,28.1,24.8,31.1,0,,,14,,,
2018-02-01,27.6,24.4,30.6,0,,,10,,1015.1,
2018-02-02,27.9,24.7,30.2,15,,,12.6,,1013.6,
2018-02-03,27.6,24.5,30.1,0,,,7.8,,1012.3,
2018-02-04,26.9,23.1,30.7,0,,,8.6,,1010.1,
2018-02-05,25.3,23,28.4,0,,,9.7,,1010.4,
2018-02-06,25.1,22.2,28.9,40.9,,,7.7,,1010.5,
2018-02-07,24.6,22.4,28,37.1,,,7.2,,1011.5,
2018-02-08,25.9,22.5,28.4,32,,,7.4,,1011.4,
2018-02-09,26.4,24,29.7,2,,,6.3,,1011.1,
2018-02-10,26.4,24.2,30.4,39.9,,,6.5,,,
2018-02-11,27,23.9,31,55.1,,,6.6,,1014,
2018-02-12,27,,,42.9,,,,,,
2018-02-13,28.4,25,32,0,,,6.8,,1014.2,
2018-02-14,28.1,24.5,31.1,7.1,,,7.6,,1013.9,
2018-02-15,27.3,24.8,,0.3,,,,,,
2018-02-16,27.8,24,30.3,9.9,,,10.3,,1016.5,
2018-02-17,28,,30.5,6.1,,,,,,
2018-02-18,27.7,24.4,30.5,0.5,,,10,,,
2018-02-19,26.5,24,30.1,7.1,,,8.4,,1012.1,
2018-02-20,26.4,23.1,30,1,,,4.5,,1011.2,
2018-02-21,26.8,22.5,30.6,10.9,,,7,,1011,
2018-02-22,26.5,24,31.2,0.3,,,10.8,,1010.5,
2018-02-23,25.8,24,30,2,,,10,,1010.4,
2018-02-24,26.7,23.2,30.3,7.1,,,6,,1012.3,
2018-02-25,27.4,23.5,30.3,23.9,,,,,,
2018-02-26,27.6,24.4,30.4,11.9,,,,,,
2018-02-27,28.1,25.1,31,4.1,,,,,,
2018-02-28,28.2,25.3,30.5,0.8,,81,16.8,,1011.8,
2018-03-01,27.4,25.1,30.4,5.1,,53,14.8,,1011.2,
2018-03-02,27.7,25.3,30.5,4.1,,66,19.5,,1011.3,
2018-03-03,27.4,24.4,30.6,3,,,,,,
2018-03-04,26.5,23.9,29,8.9,,53,23.5,,1010.3,
2018-03-05,27.3,23.2,29.2,40.9,,35,24.9,,1008.5,
2018-03-06,27.4,24.8,30,52.1,,345,25.6,,1004.4,
2018-03-07,28.2,26,32,13,,315,17.9,,1003,
2018-03-08,26.6,23.5,30.4,5.1,,,12.3,,1005.8,
2018-03-09,26.1,23,30,0,,,10.5,,1008.2,
2018-03-10,26.8,21.6,29.2,0,,,11.3,,1011.2,
2018-03-11,28.4,24.9,31.5,0.5,,,,,,
2018-03-12,28.6,26.4,31.6,0.3,,106,27.4,,1014.3,
2018-03-13,28.1,27,31.4,0,,108,27.3,,1013.9,
2018-03-14,27.9,25,31,1,,93,33.3,,1012.7,
2018-03-15,27.9,25.7,31.1,2,,,,,,
2018-03-16,27.8,25.7,29.6,0,,85,27.9,,1013.3,
2018-03-17,27.3,25.6,29.6,0,,79,22.1,,1011.4,
2018-03-18,27.4,24.2,29.8,7.1,,54,24.3,,1009.5,
2018-03-19,27.3,25.5,30.6,1,,33,17.6,,,
2018-03-20,28,24.5,31.3,23.1,,,11.7,,,
2018-03-21,28.1,25.1,31,0,,,6.2,,,
2018-03-22,27.4,25.5,29.6,0,,,10.3,,,
2018-03-23,27.6,25,30,2,,134,14.7,,1013.3,
2018-03-24,27.4,24.8,30,1,,,9.8,,1013.5,
2018-03-25,27.3,24.1,30,43.9,,,14.3,,,
2018-03-26,25.6,23.2,28.2,0.3,,,,,,
2018-03-27,26.2,22.8,29.2,0,,,6.5,,1012.6,
2018-03-28,25.8,21.5,30.2,0,,,6.6,,,
2018-03-29,26.6,23,30,1,,,7.6,,1013.6,
2018-03-30,27.6,24.6,30,2,,116,13,,,
2018-03-31,27.6,24.9,30.5,5.1,,96,17.5,,1013.4,
2018-04-01,28.1,26.2,30.8,7.9,,78,17.3,,1013.9,
2018-04-02,28,26,30.6,0,,91,13.4,,1014.2,
2018-04-03,27.7,24.7,30.4,1,,114,11.8,,,
2018-04-04,25.9,24,29.3,5.1,,110,14.8,,1013.9,
2018-04-05,24.2,21.7,26,62,,,11.8,,1013.5,
2018-04-06,25.6,22.5,29,14,,86,15.9,,1014.5,
2018-04-07,26.8,23,29.7,14,,107,23.7,,,
2018-04-08,26.7,24,29.3,1,,115,17.1,,1015.2,
2018-04-09,25.9,24,29.1,0,,,8.7,,,
2018-04-10,24.9,21.4,29.3,0,,,8.8,,,
2018-04-11,25.4,21.1,30,7.1,,,10.3,,1012.7,
2018-04-12,26.1,21,29.9,7.1,,,7.9,,1014.2,
2018-04-13,26.6,24,29.4,0.3,,173,17.3,,1017.1,
2018-04-14,25.4,23,27.2,13,,140,25.6,,1017.8,
2018-04-15,26.4,22.9,28.8,2,,109,21.9,,1016.3,
2018-04-16,26,24,28.6,0.8,,,11,,1014.2,
2018-04-17,25.6,22.3,29.5,2,,,,,,
2018-04-18,26.9,24.2,29,2,,139,18.3,,1014.9,
2018-04-19,27.6,25.3,30,2,,83,16.7,,1014.6,
2018-04-20,27.2,25,30,0,,49,13.4,,1014.8,
2018-04-21,26.3,23.5,29.1,23.1,,53,18.8,,1015.5,
2018-04-22,26.8,23.6,29.5,2,,68,20.7,,1014.4,
2018-04-23,26.3,,29,0.8,,,,,,
2018-04-24,25.8,24,29,68.1,,5,26.8,,1008.4,
2018-04-25,25.6,22.9,28.2,5.1,,227,11.6,,1011.7,
2018-04-26,25.6,23.2,28,0.5,,188,19.9,,1013.5,
2018-04-27,25.4,24,27.5,0.5,,154,21.3,,1016.2,
2018-04-28,25.3,23.4,27,0.8,,128,15.8,,1018.7,
2018-04-29,25.8,23,28.4,0,,120,19.8,,1019.3,
2018-04-30,25.8,21.5,28.3,5.1,,119,21.6,,1019.3,
2018-05-01,25.7,24,28.2,0,,131,21,,1020,
2018-05-02,25.4,22,27.5,1,,117,22.2,,,
2018-05-03,25.7,23.2,28,0,,115,18.4,,,
2018-05-04,24.8,22,28,0,,118,13.9,,,
2018-05-05,24.5,20,28.5,4.1,,34,14,,,
2018-05-06,25.2,19.5,28.8,0.5,,,13.7,,,
2018-05-07,24.9,20.2,28.9,0,,,,,,
2018-05-08,25.4,22.4,28,0,,,,,,
2018-05-09,25.7,23,28.3,0,,102,13.9,,1017.5,
2018-05-10,25.6,24,28.6,0,,87,14.9,,1017.7,
2018-05-11,24.8,20.9,,0,,,,,,
2018-05-12,24.8,20.7,28.4,0,,,5.4,,1016.4,
2018-05-13,24.7,21.5,27.2,0,,133,8.8,,1016.6,
2018-05-14,24.6,23,27.9,0,,,7.6,,1015.9,
2018-05-15,25.1,20.3,29.4,0,,0,11.2,,1014.2,
2018-05-16,24.2,20,28.5,0,,,9.2,,1014.1,
2018-05-17,24.8,19.9,28,0,,,11.9,,1015.2,
2018-05-18,25.5,23,27.5,0,,122,14.9,,1015.4,
2018-05-19,25.1,23,28,0,,140,14.4,,,
2018-05-20,23.7,21.2,26.3,0,,125,19.2,,1016.6,
2018-05-21,24.3,20.1,27.4,25.9,,92,18.2,,,
2018-05-22,25.1,22.3,27.4,1,,122,23.3,,,
2018-05-23,24.2,21.8,26,2,,112,24.9,,1021.4,
2018-05-24,24.4,22,26.6,4.1,,115,22.2,,,
2018-05-25,24.6,21.4,27.3,4.1,,,,,,
2018-05-26,25.2,21.8,28.4,0.5,,90,18.8,,,
2018-05-27,24.6,22,28.1,0,,,13.2,,1018.7,
2018-05-28,22.6,19.2,27.1,0,,,,,,
2018-05-29,22.9,18.9,27,0,,,7.9,,1017.2,
2018-05-30,23.1,17.7,27,0,,147,7.4,,1017.6,
2018-05-31,23.4,19.6,26,0,,,10.6,,1017.9,
2018-06-01,21.8,18.6,25,0,,,8.9,,1017.4,
2018-06-02,23.8,19.8,26.5,5.1,,137,13.9,,1018,
2018-06-03,24.2,,,0,,,,,,
2018-06-04,23.4,20.4,27,3,,,18.7,,1015.5,
2018-06-05,24.2,20.7,27.4,4.1,,63,20.7,,1014.8,
2018-06-06,25.2,21.6,28,0.8,,,,,,
2018-06-07,25.7,22.5,29,0,,44,20.8,,1019.6,
2018-06-08,23.8,20,28.8,0,,,14.9,,1020,
2018-06-09,22.2,18,26.8,0,,359,9.3,,1019.5,
2018-06-10,24.2,19.5,28,0,,,11.1,,1020.6,
2018-06-11,24.4,22.8,27,0,,113,12.9,,1021.9,
2018-06-12,24,20,26.7,8.9,,87,13.8,,1021.2,
2018-06-13,24.1,,,0,,,,,,
2018-06-14,23.4,20.6,25.7,4.1,,127,21.9,,1020.6,
2018-06-15,23.9,20.5,25.6,3,,119,24.1,,1021.5,
2018-06-16,24.1,21,26.7,2,,102,22.7,,1021.3,
2018-06-17,24.6,22,27.7,0,,,12.4,,1019.9,
2018-06-18,23.3,21,27,7.1,,,7.8,,1019.4,
2018-06-19,22.4,18,26,0,,,8.7,,1019.5,
2018-06-20,22.9,17.5,26.3,0,,,7,,1020.3,
2018-06-21,23.5,20.8,26.1,2,,,6.8,,1020.1,
2018-06-22,23.6,21,26.5,0.5,,,12.1,,1019.1,
2018-06-23,22.1,18.9,26,0,,,11.6,,1019,
2018-06-24,23.4,19.3,25.4,3,,125,17.9,,1019.8,
2018-06-25,23.1,20.3,25.4,0.8,,122,20.5,,1020.8,
2018-06-26,22,20,23.2,1,,139,22.7,,1021.2,
2018-06-27,22.8,19,25,3,,144,20.9,,1020.3,
2018-06-28,21.9,17.9,24.5,0,,,15.4,,,
2018-06-29,22.2,19.8,25.4,0.8,,158,13,,1017.1,
2018-06-30,21.9,19,25.5,4.1,,113,12.8,,1017.6,
2018-07-01,22.4,17.1,25,2,,,14,,1019.2,
2018-07-02,22.1,18.5,26,10.9,,97,17.7,,,
2018-07-03,23.4,19.6,26,7.9,,,19.2,,1021.7,
2018-07-04,24,20.5,26.2,19.1,,108,29.1,,1023.7,
2018-07-05,23.7,21.3,26.2,1,,,,,,
2018-07-06,23.8,20.7,26.5,1,,126,18.5,,1023.2,
2018-07-07,22.8,19.2,25.3,5.1,,,21.6,,1023.1,
2018-07-08,22.3,19.4,23.5,5.1,,139,19.3,,1021.9,
2018-07-09,22.7,20.7,,0,,,,,,
2018-07-10,23,20.8,25.1,0,,126,22,,1023.8,
2018-07-11,22.5,,25,0,,,,,,
2018-07-12,22.6,19.3,25.1,2,,125,15.1,,,
2018-07-13,22.1,19.6,25.4,8.9,,152,22.9,,1021.9,
2018-07-14,22.2,21,25,0.8,,167,19.4,,1020.7,
2018-07-15,21.1,16.5,25.3,0,,,7.9,,1018.8,
2018-07-16,21.6,16.5,25.5,0.5,,,11.1,,1018,
2018-07-17,21.8,19.5,24.8,5.1,,197,18.2,,1018.7,
2018-07-18,21.6,18.6,23.5,7.1,,175,22.4,,1020.4,
2018-07-19,21,19,22,0.3,,141,25.3,,1022.5,
2018-07-20,22.1,18.4,24.5,3,,118,24.2,,1024.5,
2018-07-21,21.3,18.6,24,2,,107,22.6,42.6,1024.8,
2018-07-22,22.2,18.9,25,4.1,,109,21.8,40.8,1023.4,
2018-07-23,22.2,18.8,25,5.1,,142,24,51.8,1022.6,
2018-07-24,22.8,19.4,24.5,8.9,,117,29.3,57.4,1024.1,
2018-07-25,22.9,21.4,25.1,0,,112,22.7,40.8,1023.6,
2018-07-26,22.6,21,25.3,0,,112,18.7,37,1022.8,
2018-07-27,22.4,19.8,25,0,,134,14.9,31.5,1022.4,
2018-07-28,22.1,20.8,24.8,0,,123,15.5,35.2,1021.8,
2018-07-29,21.4,16.6,25.3,0,,108,10.5,29.6,1021,
2018-07-30,21.3,17.9,25.8,0,,34,12.9,31.5,1019.9,
2018-07-31,22.1,17.6,26.5,0.3,,5,11.1,31.5,1018.3,
2018-08-01,22.3,18.7,26.5,0,,353,7.9,24.1,1018.4,
2018-08-02,22.4,18.8,27,0,,8,13.5,29.6,1019.4,
2018-08-03,22.7,18.1,27.5,0,,342,9.2,25.9,1019.1,
2018-08-04,23.1,17.9,28,0,,249,11.9,31.5,1020.6,
2018-08-05,22.8,20,26,0,,147,13.3,31.5,1023.7,
2018-08-06,22.7,18.4,26.6,0,,98,15.8,31.5,1023.5,
2018-08-07,22.8,19.6,26,0,,94,15.6,29.6,1021.9,
2018-08-08,22.7,20,26.1,0,,81,8,25.9,1020.7,
2018-08-09,21.9,17.5,26.7,0,,37,7,24.1,1022.4,
2018-08-10,23.1,17.7,26.5,0,,147,13.8,35.2,1025.2,
2018-08-11,22.8,21.2,25.4,0,,127,24.4,42.6,1027.1,
2018-08-12,22.6,21.6,25.4,0,,114,26.1,46.3,1026.8,
2018-08-13,23.2,20.6,25.2,0,,115,23,42.6,1026.5,
2018-08-14,23.4,21,26.4,0,,112,23.2,40.8,1025.9,
2018-08-15,22.8,20.4,25.6,0.3,,122,23.8,40.8,1026.3,
2018-08-16,23.2,21.6,26.5,0.3,,112,26.5,44.5,1025.3,
2018-08-17,22.9,19.9,25.8,0.5,,115,24.6,42.6,1024.4,
2018-08-18,23.2,21.3,26,0,,116,24,40.8,1023.9,
2018-08-19,22.9,21,25.8,0,,125,24.9,40.8,1023.8,
2018-08-20,22.8,19.4,26,4.1,,109,24.2,44.5,1023.7,
2018-08-21,23.2,19.8,26.5,3,,95,23.8,38.9,1023.5,
2018-08-22,23.4,21,26.6,0,,109,16.9,33.3,1022.7,
2018-08-23,22,17,25.4,0,,99,14.5,35.2,1022.3,
2018-08-24,22.9,19.1,26.2,5.1,,101,19.5,38.9,1022.8,
2018-08-25,22.7,19.5,25,3,,119,21.4,38.9,1022.7,
2018-08-26,22.8,20.6,26.5,0,,107,21.5,37,1021.2,
2018-08-27,23.1,20.6,26.5,1,,95,23.6,40.8,1021.2,
