"TOA5","61769","CR1000","61769","CR1000.Std.27.04","CPU:SA program.CR1","33882","Nov1"
"TIMESTAMP","RECORD","BP_hPa_Avg","AirTC_Avg","WS_ms_Avg","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","FG_CMP3_Avg","SlrW_2_Avg"
"TS","RN","hPa","Deg C","meters/second","meters/second","Deg","Deg","W/m^2","W/m^2"
"","","Avg","Avg","Avg","WVc","WVc","WVc","Avg","Avg"
"2022-08-22 21:31:00",1892,502,19.12,0.68,0.68,359.9,0.03,NAN,NAN
"2022-08-22 21:41:00",1893,503.9,19.09,0.51,0.51,359.9,0.06,NAN,NAN
"2022-08-22 21:51:00",1894,501.8,19.07,0.54,0.54,359.9,0.09,NAN,NAN
"2022-08-22 22:01:00",1895,500.9,19.06,0.25,0.25,359.9,0.13,NAN,NAN
"2022-08-22 22:11:00",1896,500.9,19.07,0.40,0.40,359.9,0.13,NAN,NAN
"2022-08-22 22:21:00",1897,501.3,19.19,0.68,0.68,359.9,0.13,NAN,NAN
"2022-08-22 22:31:00",1898,503.1,19.06,0.46,0.46,359.9,0.11,NAN,NAN
"2022-08-22 22:41:00",1899,504,18.97,0.33,0.33,359.8,0.19,NAN,NAN
"2022-08-22 22:51:00",1900,504.4,18.85,0.21,0.21,359.9,0.10,NAN,NAN
"2022-08-22 23:01:00",1901,501,18.8,0.32,0.32,359.9,0.12,NAN,NAN
"2022-08-22 23:11:00",1902,500.8,18.77,0.26,0.26,359.9,0.12,NAN,NAN
"2022-08-22 23:21:00",1903,500.7,18.81,0.33,0.33,359.9,0.12,NAN,NAN
"2022-08-22 23:31:00",1904,501.9,18.83,0.27,0.27,359.9,0.1,NAN,NAN
"2022-08-22 23:41:00",1905,501.1,18.88,0.38,0.38,359.9,0.09,NAN,NAN
"2022-08-22 23:51:00",1906,502.6,18.81,0.92,0.92,359.9,0.06,NAN,NAN
"2022-08-23 00:01:00",1907,508,18.32,0.66,0.66,359.8,0.26,NAN,NAN
"2022-08-23 00:11:00",1908,502.8,18.19,0.18,0.18,359.9,0.06,NAN,NAN
"2022-08-23 00:21:00",1909,501.2,18.18,0.27,0.27,359.9,0.11,NAN,NAN
"2022-08-23 00:31:00",1910,501.8,18.19,0.33,0.33,359.9,0.03,NAN,NAN
"2022-08-23 00:41:00",1911,500.8,18.25,0.28,0.28,359.9,0.10,NAN,NAN
"2022-08-23 00:51:00",1912,500.4,18.15,0.34,0.34,359.9,0.12,NAN,NAN
"2022-08-23 01:01:00",1913,500.4,18.14,0.29,0.29,359.9,0.12,NAN,NAN
"2022-08-23 01:11:00",1914,500.5,17.98,0.17,0.17,359.9,0.11,NAN,NAN
"2022-08-23 01:21:00",1915,500.4,17.85,0.27,0.27,359.9,0.12,NAN,NAN
"2022-08-23 01:31:00",1916,500.8,17.54,0.13,0.13,359.9,0.12,NAN,NAN
"2022-08-23 01:41:00",1917,500.7,17.52,0.16,0.16,359.9,0.12,NAN,NAN
"2022-08-23 01:51:00",1918,500.4,17.75,0.12,0.12,359.9,0.12,NAN,NAN
"2022-08-23 02:01:00",1919,505.4,17.72,0.14,0.14,359.9,0.18,NAN,NAN
"2022-08-23 02:11:00",1920,501.4,17.82,0.19,0.19,359.9,0.12,NAN,NAN
"2022-08-23 02:21:00",1921,500.8,17.8,0.10,0.10,359.9,0.12,NAN,NAN
"2022-08-23 02:31:00",1922,500.8,17.93,0.25,0.25,359.9,0.11,NAN,NAN
"2022-08-23 02:41:00",1923,501.1,18.14,0.42,0.42,359.9,0.11,NAN,NAN
"2022-08-23 02:51:00",1924,501.5,18.27,0.38,0.38,359.9,0.08,NAN,NAN
"2022-08-23 03:01:00",1925,500.6,18.28,0.31,0.31,359.9,0.12,NAN,NAN
"2022-08-23 03:11:00",1926,501,18.13,0.20,0.20,359.9,0.07,NAN,NAN
"2022-08-23 03:21:00",1927,500.3,18.18,0.34,0.34,359.9,0.13,NAN,NAN
"2022-08-23 03:31:00",1928,500.2,18.11,0.12,0.12,359.9,0.13,NAN,NAN
"2022-08-23 03:41:00",1929,500.2,18.12,0.22,0.22,359.9,0.13,NAN,NAN
"2022-08-23 03:51:00",1930,503.5,18.08,0.14,0.14,359.9,0.16,NAN,NAN
"2022-08-23 04:01:00",1931,503.9,17.94,0.10,0.10,359.9,0.13,NAN,NAN
"2022-08-23 04:11:00",1932,503.6,18,0.11,0.11,359.9,0.08,NAN,NAN
"2022-08-23 04:21:00",1933,502.1,18.06,0.54,0.54,359.9,0.04,NAN,NAN
"2022-08-23 04:31:00",1934,504.1,17.93,0.75,0.75,359.9,0.12,NAN,NAN
"2022-08-23 04:41:00",1935,502.3,17.8,0.68,0.68,359.9,0.11,NAN,NAN
"2022-08-23 04:51:00",1936,502.4,17.51,0.68,0.68,359.9,0.03,NAN,NAN
"2022-08-23 05:01:00",1937,502.6,17.38,0.47,0.47,359.9,0.13,NAN,NAN
"2022-08-23 05:11:00",1938,500.5,17.39,0.21,0.21,359.9,0.12,NAN,NAN
"2022-08-23 05:21:00",1939,500.1,17.23,0.17,0.17,359.9,0.12,NAN,NAN
"2022-08-23 05:31:00",1940,501.6,16.92,0.10,0.10,359.9,0.07,NAN,NAN
"2022-08-23 05:41:00",1941,503.8,16.49,0.10,0.10,359.9,0.11,NAN,NAN
"2022-08-23 05:51:00",1942,501.1,16.38,0.10,0.10,359.9,0.09,NAN,NAN
"2022-08-23 06:01:00",1943,504.5,16.38,0.10,0.10,359.9,0.06,NAN,NAN
"2022-08-23 06:11:00",1944,501.7,16.42,0.11,0.11,359.9,0.03,NAN,NAN
"2022-08-23 06:21:00",1945,500.2,16.38,0.12,0.12,359.9,0.11,NAN,NAN
"2022-08-23 06:31:00",1946,502.8,16.26,0.10,0.10,359.9,0.11,NAN,NAN
"2022-08-23 06:41:00",1947,500.1,16.38,0.12,0.12,359.9,0.10,NAN,NAN
"2022-08-23 06:51:00",1948,506,16.17,0.10,0.10,359.9,0.07,NAN,NAN
"2022-08-23 07:01:00",1949,502.9,16.28,0.10,0.10,359.9,0.14,NAN,NAN
"2022-08-23 07:11:00",1950,504.5,16.34,0.10,0.10,359.9,0.12,NAN,NAN
"2022-08-23 07:21:00",1951,505.8,16.92,0.16,0.16,359.9,0.14,NAN,NAN
"2022-08-23 07:31:00",1952,502.7,17.61,0.1,0.1,359.9,0.07,NAN,NAN
"2022-08-23 07:41:00",1953,506,17.75,0.29,0.29,359.8,0.23,NAN,NAN
"2022-08-23 07:51:00",1954,512,18.38,0.15,0.15,359.8,0.28,NAN,NAN
"2022-08-23 08:01:00",1955,511,18.58,0.42,0.42,359.8,0.17,NAN,NAN
"2022-08-23 08:11:00",1956,512.3,19.58,0.36,0.36,359.8,0.06,NAN,NAN
"2022-08-23 08:21:00",1957,504.6,20.3,0.75,0.75,359.8,0.17,NAN,NAN
"2022-08-23 08:31:00",1958,504.4,20.52,0.96,0.96,359.8,0.13,NAN,NAN
"2022-08-23 08:41:00",1959,504,20.94,1.126,1.126,359.8,0.16,NAN,NAN
"2022-08-23 08:51:00",1960,506.2,21.32,1.089,1.089,359.8,0.11,NAN,NAN
"2022-08-23 09:01:00",1961,503.6,20.77,0.85,0.85,359.9,0.12,NAN,NAN
"2022-08-23 09:11:00",1962,503.4,20.08,0.83,0.83,359.9,0.11,NAN,NAN
"2022-08-23 09:21:00",1963,503.6,20.28,1.05,1.05,359.9,0.10,NAN,NAN
"2022-08-23 09:31:00",1964,504.3,20.6,1.072,1.072,359.9,0.09,NAN,NAN
"2022-08-23 09:41:00",1965,503.1,21.63,1.195,1.195,359.9,0.12,NAN,NAN
"2022-08-23 09:51:00",1966,503.1,22.15,1.099,1.099,359.9,0.13,NAN,NAN
"2022-08-23 10:01:00",1967,503.2,22.15,1.347,1.348,359.9,0.12,NAN,NAN
"2022-08-23 10:11:00",1968,503.2,21.83,1.365,1.365,359.9,0.11,NAN,NAN
"2022-08-23 10:21:00",1969,503.3,21.93,1.377,1.377,359.9,0.11,NAN,NAN
"2022-08-23 10:31:00",1970,503.9,21.58,1.542,1.542,359.9,0.09,NAN,NAN
"2022-08-23 10:41:00",1971,505.2,22.88,0.95,0.95,359.9,0.06,NAN,NAN
