Date,High,Avg,Low
11/1/2022,14.5,2.2,0.0
11/2/2022,14.7,2.7,0.0
11/3/2022,13.1,2.5,0.0
11/4/2022,10.0,1.4,0.0
11/5/2022,9.3,1.0,0.0
11/6/2022,9.1,1.2,0.0
11/7/2022,11.6,2.0,0.0
11/8/2022,11.1,1.7,0.0
11/9/2022,12.5,1.8,0.0
11/10/2022,10.5,2.2,0.0
11/11/2022,11.6,2.8,0.0
11/12/2022,11.8,1.8,0.0
11/13/2022,9.3,1.5,0.0
11/14/2022,14.9,2.6,0.0
11/15/2022,16.3,3.7,0.0
11/16/2022,10.7,1.9,0.0
11/17/2022,9.6,1.7,0.0
11/18/2022,9.1,1.6,0.0
11/19/2022,9.8,1.5,0.0
11/20/2022,10.7,2.1,0.0
11/21/2022,14.9,2.7,0.0
11/22/2022,13.1,2.4,0.0
11/23/2022,11.1,2.0,0.0
