Date,High,Avg,Low
1/1/2021,17.0,3.1,0.0
1/2/2021,9.0,1.4,0.0
1/3/2021,11.0,1.8,0.0
1/4/2021,11.0,2.1,0.0
1/5/2021,12.0,2.3,0.0
1/6/2021,13.0,1.9,0.0
1/7/2021,10.0,1.5,0.0
1/8/2021,15.0,1.9,0.0
1/9/2021,11.0,1.5,0.0
1/10/2021,9.0,0.8,0.0
1/11/2021,9.0,1.8,0.0
1/12/2021,15.0,5.2,0.0
1/13/2021,12.0,3.1,0.0
1/14/2021,10.0,1.5,0.0
1/15/2021,12.0,2.0,0.0
1/16/2021,10.0,2.0,0.0
1/17/2021,16.0,2.7,0.0
1/18/2021,18.0,4.5,0.0
1/19/2021,10.0,2.2,0.0
1/20/2021,8.0,0.6,0.0
1/21/2021,13.0,2.0,0.0
1/22/2021,8.0,1.0,0.0
1/23/2021,7.0,0.8,0.0
1/24/2021,6.0,0.4,0.0
1/25/2021,8.0,0.7,0.0
1/26/2021,12.0,0.9,0.0
1/27/2021,7.0,0.5,0.0
1/28/2021,12.0,0.8,0.0
1/29/2021,16.0,2.6,0.0
1/30/2021,9.0,1.7,0.0
1/31/2021,9.0,1.5,0.0
